,canonical_venue
136,"QSAC State Athletics Facility, Nathan, Brisbane (AUS)"
137,"Spar Nord Arena, Skive (DEN)"
138,"The Podium, Spokane, WA (USA)"
139,"Štadión SNP, Banská Bystrica (SVK)"
140,"Atletiekbaan Maarschalkerweerd, Utrecht (NED)"
141,"Foothills Athletic Park, Calgary (CAN)"
142,"Hvidovre Stadion, Hvidovre (DEN)"
143,"Icahn Stadium, New York, NY (USA)"
144,"KMSHVSM Arena, Kyiv (UKR)"
145,"Liikuntamylly, Helsinki (FIN)"
146,"Městský atletický stadion, Pardubice (CZE)"
147,"National Stadium, Tokyo (JPN)"
148,"Pista Atlética Mario Recordón, Santiago de Chile (CHI)"
149,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)"
150,"Pista de Atletismo do CIEF, Brasilia (BRA)"
152,"Sollentunavallen, Sollentuna (SWE)"
153,"Sportanlage Sihlhölzli, Zürich (SUI)"
154,"Toše Proeski Arena, Skopje (MKD)"
