canonical_venue,latitude,longitude,elevation
"Complexo Desportivo de Lousada, Lousada (POR)",41.28648140000001,-8.2927634,335.0
"GPS Stadium, Nicosia (CYP)",35.1145246,33.3628952,183.0
"Arena Stade Couvert, Liévin (FRA)",50.4109912,2.765853,71.0
"Jāņa Daliņa Stadium, Valmiera (LAT)",57.5409605,25.4417459,48.0
Montevideo (URU),-34.9055016,-56.1851147,45.0
"Omnisport, Apeldoorn (NED)",52.2097108,5.9958037,9.0
"Atletski Stadion, Kraljevo (SRB)",43.7204013,20.6883003,198.0
"Centro Nacional de Lançamentos, Leiria (POR)",39.7524269,-8.8145724,27.0
"Coque Sport Center, Luxembourg (LUX)",49.623552,6.1519527,341.0
"Friidrottens Hus, Göteborg (SWE)",57.6771012,11.9366851,23.0
"Kirani James Athletic Stadium, St. George's (GRN)",12.0599914,-61.75356769999999,8.0
"Pista de Atletismo SND, Asunción (PAR)",-25.3169096,-57.58062109999999,149.0
"Regional Sport Complex, Brest (BLR)",52.0996507,23.7636662,142.0
"Športová hala Elán, Bratislava (SVK)",48.1638595,17.1396978,137.0
"Complexe Olympique Mohamed Boudiaf, Algiers (ALG)",36.7646823,2.9972394,239.0
"Complexe Sportif de Blocry, Louvain-La-Neuve (BEL)",50.6703877,4.6015966,135.0
"Estadio Vallehermoso, Madrid (ESP)",40.4415625,-3.7097402,702.0
"Golęcin Stadion, Poznan (POL)",52.4254001,16.8903021,71.0
"Manchester Regional Arena, Manchester (GBR)",53.48385649999999,-2.2039758,55.0
"Stadion Topolica, Bar (MNE)",42.1045656,19.0900671,-2.0
"The Crest Athletics Centre, Bankstown, Sydney (AUS)",-33.9071007,150.9972312,54.0
"Track and Field Centre Outdoor Track, Toronto (CAN)",43.7763564,-79.50766449999999,203.0
"Uppsala Friidrottsarena, Uppsala (SWE)",59.8812155,17.661857,25.0
"Ataköy Arena, Istanbul (TUR)",40.9808541,28.856793,7.0
"Atletický stadion Slavia Praha, Praha (CZE)",50.0669358,14.4780158,215.0
"COTP Stadium, São Paulo (BRA)",-23.5985694,-46.6561836,758.0
"Longford Stadium Trafford, Manchester (GBR)",53.44596379999999,-2.2906255,33.0
"Mestský Stadion, Ostrava (CZE)",49.8043165,18.2559648,230.0
"Pista de Atletismo da Universidade Federal do Rio Grande do Norte, Natal (BRA)",-5.839721,-35.2016966,47.0
"Stade d'Honneur Marcel Roustan, Salon-de-Provence (FRA)",43.6357396,5.0928645,69.0
"Stadion BOSiR, Białystok (POL)",53.120594,23.1599274,147.0
"TipsArena, Linz (AUT)",48.2925823,14.2756622,319.0
"Yanmar Stadium Nagai, Osaka (JPN)",34.6140489,135.5185961,23.0
"Aftab Enghelab Sport Complex, Tehran (IRI)",35.783735,51.3977739,1572.0
"CNDA, Bragança Paulista (BRA)",-22.9531705,-46.5423239,855.0
"Camille Chamoun Sports City Stadium, Beirut (LBN)",33.8670115,35.496098,53.0
"Jāņa Daliņa Manēža, Valmiera (LAT)",57.5423107,25.443463,52.0
"Mahinda Rajapaksha Stadium, Diyagama (SRI)",6.8064822,79.99074519999999,16.0
"Newtown Park Stadium, Wellington (NZL)",-41.32008039999999,174.7824658,47.0
"Pistes d'atletisme Gaetà Huguet, Castellón (ESP)",39.9823349,-0.0608391,48.0
"Stadio Comunale, Bellinzona (SUI)",46.198457,9.0228478,228.0
"Stadio M.S. Cozzoli, Molfetta (ITA)",41.197994,16.614026,7.0
"Stadium Pierre-Quinon, Nantes (FRA)",47.2488419,-1.5555589,24.0
"Suhaim bin Hamad Stadium, Doha (QAT)",25.3171875,51.5112344,5.0
"Estádio Municipal de Vagos, Vagos (POR)",40.5445836,-8.6858807,18.0
"Lantos Mihály Sportközpont, Budapest (HUN)",47.5247321,19.1202417,108.0
"Pista de Atletismo do Parque Ayrton Senna, Campo Grande (BRA)",-20.5126795,-54.6497445,503.0
"Stade L. Achille, Fort-de-France (FRA)",14.6060576,-61.06988399999999,11.0
"Stadion Śląski, Chorzów (POL)",50.28815909999999,18.9726717,282.0
"The Track at New Balance, Boston, MA (USA)",42.3566133,-71.14372019999999,12.0
"AIS Athletics Track, Canberra (AUS)",-35.2466186,149.1037801,615.0
"Atatürk Stadyumu, Izmir (TUR)",38.4349544,27.1779803,2.0
"Atletski stadion, Sremska Mitrovica (SRB)",44.9882602,19.611989,84.0
"Boston Univ. Track & Tennis Center, Boston, MA (USA)",42.354588,-71.12348279999999,10.0
"Bærum Idrettspark, Rud, Bærum (NOR)",59.9096474,10.4994214,50.0
"Estádio Municipal Fontelo, Viseu (POR)",40.6595491,-7.900481200000001,461.0
"Estádio Municipal Manuela Machado, Viana do Castelo (POR)",41.7176062,-8.818015599999999,44.0
"Loughborough University Track, Loughborough (GBR)",52.76817089999999,-1.2305309,55.0
"Mt Smart Stadium, Auckland (NZL)",-36.9182825,174.8123959,26.0
"Nyíregyházi Atlétikai Centrum, Nyíregyháza (HUN)",47.9565758,21.6953009,108.0
"Pista Basilio Rodriguez, Carolina (PUR)",18.3869389,-65.9568319,8.0
"Pista Carlos Lopes, Torres Vedras (POR)",39.0712318,-9.2473173,85.0
"QSAC State Athletics Facility, Nathan, Brisbane (AUS)",-27.5570537,153.0594982,86.0
"Spar Nord Arena, Skive (DEN)",56.5680351,9.0361146,3.0
"The Podium, Spokane, WA (USA)",47.6664489,-117.4193964,577.0
"Štadión SNP, Banská Bystrica (SVK)",48.7319629,19.1310516,349.0
"Atletiekbaan Maarschalkerweerd, Utrecht (NED)",52.0788908,5.1565128,2.0
"Foothills Athletic Park, Calgary (CAN)",51.0727105,-114.1227921,1096.0
"Hvidovre Stadion, Hvidovre (DEN)",55.63128219999999,12.4828296,5.0
"Icahn Stadium, New York, NY (USA)",40.7929771,-73.92441219999999,1.0
"KMSHVSM Arena, Kyiv (UKR)",50.4503596,30.5245025,158.0
"Liikuntamylly, Helsinki (FIN)",60.2248195,25.0769775,
"Městský atletický stadion, Pardubice (CZE)",50.0219452,15.763935,220.0
"National Stadium, Tokyo (JPN)",35.6800399,139.7139449,38.0
"Pista Atlética Mario Recordón, Santiago de Chile (CHI)",-33.4658741,-70.6085247,577.0
"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",-15.6080791,-56.0616114,184.0
"Pista de Atletismo do CIEF, Brasilia (BRA)",-15.8063904,-47.90971769999999,1115.0
"Sollentunavallen, Sollentuna (SWE)",59.4356048,17.9512774,24.0
"Sportanlage Sihlhölzli, Zürich (SUI)",47.3678335,8.5249884,417.0
"Toše Proeski Arena, Skopje (MKD)",42.0057329,21.4255963,246.0
